# I. CNS-neuroinvasive / neurotropic pathogens
# Entries are grouped by organism type.
# Some opportunistic CNS pathogens also function as contamination sentinels.

## Viruses
hhv6a_u1102	GCF_000845685.2
hhv6b_z29	GCF_000846365.1
hsv1_strain17	GCF_000859985.2
hsv2_hg52	GCF_000858385.2
vzv_dumas	GCF_000858285.1
ebv_b95_8	GCF_002402265.1
hhv7_rk	GCF_000848125.1
jcv	GCF_000863805.1
betapolyomavirus_hominis	GCF_000837865.1
mammarenavirus_choriomeningitidis	GCF_004789475.1
borna_disease_virus_1	GCA_002366305.1
variegated_squirrel_bornavirus_1	GCF_001698295.1
influenza_a_h1n1	GCA_039000265.1
influenza_a_h3n2	GCA_039834415.1
usutu_virus	GCF_000854945.1
japanese_encephalitis_virus	GCF_000862145.1
powassan_virus	GCF_000860485.1
tbev	GCF_000863125.1
toscana_virus	GCA_031497085.1
rabies_lyssavirus	GCF_000859625.1
eblv1	GCF_000870765.1
eblv2	GCF_000871625.2
measles_morbillivirus	GCF_000854845.1
mumps_orthorubulavirus	GCF_000856685.1
henipavirus_nipahense	GCF_000863625.1
ev71	GCA_008766895.1
evd68	GCF_002816725.1
poliovirus_pv1	GCA_031102545.1
echovirus_e11	GCA_031102535.1
human_parechovirus_3	GCA_031116775.1
eastern_equine_encephalitis_virus	GCF_000862705.1

## Bacteria
# staphylococcus_aureus can also be a skin or handling background signal.
listeria_monocytogenes	GCF_000196035.1
neisseria_meningitidis	GCF_000008805.1
streptococcus_pneumoniae_d39	GCF_000014365.2
streptococcus_agalactiae	GCF_001552035.1
haemophilus_influenzae	GCF_020736045.1
escherichia_coli_k1	GCF_000471505.1
borreliella_burgdorferi_b31	GCF_000008685.2
borrelia_miyamotoi	GCF_019668505.1
mycobacterium_tuberculosis	GCF_000195955.2
nocardia_asteroides	GCF_900637185.1
nocardia_farcinica	GCF_000009805.1
mycoplasmoides_pneumoniae	GCF_900660465.1
brucella_melitensis	GCF_000007125.1
staphylococcus_aureus	GCF_000013425.1

## Fungi
# candida_albicans and aspergillus_fumigatus can be genuine CNS pathogens, although they can also appear as environmental or laboratory background.
cryptococcus_neoformans	GCF_000149245.1
cryptococcus_gattii	GCF_000185945.1
